"recordID","recordStartTime","recordStopTime","tempDegC","recordingPath","annotationPath"
"8567.240731195937","2024-07-31T19:59:37","2024-07-31T22:59:36",22.36,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731195937.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731195937.Table.1.selections.txt"
"8567.240731225936","2024-07-31T22:59:36","2024-08-01T01:59:36",22.27,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240731225936.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240731225936.Table.1.selections.txt"
"8567.240801015936","2024-08-01T01:59:36","2024-08-01T04:59:35",22.27,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801015936.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801015936.Table.1.selections.txt"
"8567.240801045935","2024-08-01T04:59:35","2024-08-01T07:59:35",22.27,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801045935.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801045935.Table.1.selections.txt"
"8567.240801075935","2024-08-01T07:59:35","2024-08-01T10:59:35",22.19,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801075935.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801075935.Table.1.selections.txt"
"8567.240801105935","2024-08-01T10:59:35","2024-08-01T13:59:34",22.53,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801105935.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801105935.Table.1.selections.txt"
"8567.240801135934","2024-08-01T13:59:34","2024-08-01T16:59:33",23.12,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801135934.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801135934.Table.1.selections.txt"
"8567.240801165933","2024-08-01T16:59:33","2024-08-01T19:59:33",23.46,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801165933.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801165933.Table.1.selections.txt"
"8567.240801195933","2024-08-01T19:59:33","2024-08-01T22:59:32",23.37,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801195933.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801195933.Table.1.selections.txt"
"8567.240801225932","2024-08-01T22:59:32","2024-08-02T01:59:32",23.2,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240801225932.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240801225932.Table.1.selections.txt"
"8567.240802015932","2024-08-02T01:59:32","2024-08-02T04:59:31",23.03,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802015932.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802015932.Table.1.selections.txt"
"8567.240802045931","2024-08-02T04:59:31","2024-08-02T07:59:31",22.95,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802045931.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802045931.Table.1.selections.txt"
"8567.240802075931","2024-08-02T07:59:31","2024-08-02T10:59:31",22.86,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802075931.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802075931.Table.1.selections.txt"
"8567.240802105931","2024-08-02T10:59:31","2024-08-02T13:59:31",23.03,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802105931.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802105931.Table.1.selections.txt"
"8567.240802135931","2024-08-02T13:59:31","2024-08-02T16:59:30",23.88,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802135931.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802135931.Table.1.selections.txt"
"8567.240802165931","2024-08-02T16:59:31","2024-08-02T19:59:30",23.97,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802165931.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802165931.Table.1.selections.txt"
"8567.240802195930","2024-08-02T19:59:30","2024-08-02T22:59:29",23.71,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802195930.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802195930.Table.1.selections.txt"
"8567.240802225930","2024-08-02T22:59:29","2024-08-03T01:59:29",23.29,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240802225930.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240802225930.Table.1.selections.txt"
"8567.240803015929","2024-08-03T01:59:29","2024-08-03T04:59:28",23.12,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803015929.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803015929.Table.1.selections.txt"
"8567.240803045928","2024-08-03T04:59:28","2024-08-03T07:59:28",23.2,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803045928.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803045928.Table.1.selections.txt"
"8567.240803075928","2024-08-03T07:59:28","2024-08-03T10:59:28",23.03,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803075928.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803075928.Table.1.selections.txt"
"8567.240803105928","2024-08-03T10:59:28","2024-08-03T13:59:27",23.12,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803105928.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803105928.Table.1.selections.txt"
"8567.240803135927","2024-08-03T13:59:27","2024-08-03T16:59:27",23.63,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803135927.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803135927.Table.1.selections.txt"
"8567.240803165927","2024-08-03T16:59:27","2024-08-03T19:59:26",24.23,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803165927.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803165927.Table.1.selections.txt"
"8567.240803195926","2024-08-03T19:59:26","2024-08-03T22:59:26",23.88,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803195926.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803195926.Table.1.selections.txt"
"8567.240803225926","2024-08-03T22:59:26","2024-08-04T01:59:26",23.63,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240803225926.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240803225926.Table.1.selections.txt"
"8567.240804015926","2024-08-04T01:59:26","2024-08-04T04:59:25",23.71,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804015926.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804015926.Table.1.selections.txt"
"8567.240804045925","2024-08-04T04:59:25","2024-08-04T07:59:25",23.63,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804045925.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804045925.Table.1.selections.txt"
"8567.240804075925","2024-08-04T07:59:25","2024-08-04T10:59:25",23.46,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804075925.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804075925.Table.1.selections.txt"
"8567.240804105925","2024-08-04T10:59:25","2024-08-04T13:59:24",23.63,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804105925.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804105925.Table.1.selections.txt"
"8567.240804135925","2024-08-04T13:59:25","2024-08-04T16:59:24",23.8,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804135925.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804135925.Table.1.selections.txt"
"8567.240804165924","2024-08-04T16:59:24","2024-08-04T19:59:24",24.05,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804165924.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804165924.Table.1.selections.txt"
"8567.240804195924","2024-08-04T19:59:24","2024-08-04T22:59:23",23.71,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804195924.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804195924.Table.1.selections.txt"
